Type,Subtype,Filename,Max_Score,Mean_Score,Num_Tiles,Best_Channel,Prediction,Correct
Clean,Clean_RGB,04001.png,0.3148356,0.08850927,9,R,Clean,True
Clean,Clean_RGB,04002.png,0.09274755,0.015841635,9,G,Clean,True
Clean,Clean_RGB,04003.png,0.014159978,0.0038799543,9,R,Clean,True
Clean,Clean_RGB,04004.png,0.044786215,0.015177394,9,R,Clean,True
Clean,Clean_RGB,04005.png,0.6011323,0.07235806,9,G,Stego,False
Clean,Clean_RGB,04006.png,0.028215501,0.00899168,9,B,Clean,True
Clean,Clean_RGB,04007.png,0.56932825,0.06869347,9,G,Stego,False
Clean,Clean_RGB,04008.png,0.02939829,0.0076952484,9,B,Clean,True
Clean,Clean_RGB,04009.png,0.027882228,0.0087649785,9,R,Clean,True
Clean,Clean_RGB,04010.png,0.023766728,0.003359937,9,R,Clean,True
Clean,Clean_RGB,04011.png,0.77409846,0.22542647,9,G,Stego,False
Clean,Clean_RGB,04012.png,0.04922506,0.014995658,9,R,Clean,True
Clean,Clean_RGB,04013.png,0.027427094,0.008625629,9,G,Clean,True
Clean,Clean_RGB,04014.png,0.91631657,0.34115493,9,G,Stego,False
Clean,Clean_RGB,04015.png,0.033152115,0.010085975,9,G,Clean,True
Clean,Clean_RGB,04016.png,0.99932826,0.64036405,9,G,Stego,False
Clean,Clean_RGB,04017.png,0.012256529,0.005824318,9,B,Clean,True
Clean,Clean_RGB,04018.png,0.059125096,0.018926755,9,B,Clean,True
Clean,Clean_RGB,04019.png,0.05823217,0.018124735,9,B,Clean,True
Clean,Clean_RGB,04020.png,0.086265385,0.015584052,9,G,Clean,True
Clean,Clean_RGB,04021.png,0.045662247,0.01358163,9,B,Clean,True
Clean,Clean_RGB,04022.png,0.048439533,0.010089759,9,G,Clean,True
Clean,Clean_RGB,04023.png,0.051650323,0.015932556,9,B,Clean,True
Clean,Clean_RGB,04024.png,0.029649768,0.014170253,9,R,Clean,True
Clean,Clean_RGB,04025.png,0.043533638,0.012247879,9,G,Clean,True
Clean,Clean_RGB,04026.png,0.9007085,0.2715212,9,G,Stego,False
Clean,Clean_RGB,04027.png,0.027134629,0.0060827597,9,B,Clean,True
Clean,Clean_RGB,04028.png,0.04096254,0.010992395,9,G,Clean,True
Clean,Clean_RGB,04029.png,0.053457,0.01572143,9,R,Clean,True
Clean,Clean_RGB,04030.png,0.052265067,0.016005613,9,G,Clean,True
Clean,Clean_RGB,04031.png,0.613035,0.07797867,9,G,Stego,False
Clean,Clean_RGB,04032.png,0.11579457,0.030249588,9,B,Clean,True
Clean,Clean_RGB,04033.png,0.03329316,0.009813811,9,G,Clean,True
Clean,Clean_RGB,04034.png,0.06617643,0.01770152,9,B,Clean,True
Clean,Clean_RGB,04035.png,0.040138416,0.0076624006,9,R,Clean,True
Clean,Clean_RGB,04036.png,0.042295054,0.028334389,9,R,Clean,True
Clean,Clean_RGB,04037.png,0.042844564,0.013721675,9,B,Clean,True
Clean,Clean_RGB,04038.png,0.109259285,0.021512458,9,R,Clean,True
Clean,Clean_RGB,04039.png,0.05763742,0.012359032,9,R,Clean,True
Clean,Clean_RGB,04040.png,0.010304944,0.0030790444,9,G,Clean,True
Clean,Clean_RGB,04041.png,0.029471004,0.009911959,9,G,Clean,True
Clean,Clean_RGB,04042.png,0.02581671,0.0077848444,9,R,Clean,True
Clean,Clean_RGB,04043.png,0.049961917,0.016168589,9,G,Clean,True
Clean,Clean_RGB,04044.png,0.034371413,0.010795358,9,B,Clean,True
Clean,Clean_RGB,04045.png,0.0381694,0.011424355,9,B,Clean,True
Clean,Clean_RGB,04046.png,0.27818376,0.03821902,9,R,Clean,True
Clean,Clean_RGB,04047.png,0.04765341,0.017686788,9,R,Clean,True
Clean,Clean_RGB,04048.png,0.03275935,0.0109161725,9,G,Clean,True
Clean,Clean_RGB,04049.png,0.034737453,0.010234725,9,B,Clean,True
Clean,Clean_RGB,04050.png,0.04620041,0.010299142,9,G,Clean,True
Clean,Clean_RGB,04051.png,0.050336603,0.013785566,9,B,Clean,True
Clean,Clean_RGB,04052.png,0.039661333,0.014942144,9,R,Clean,True
Clean,Clean_RGB,04053.png,0.21546817,0.051789362,9,R,Clean,True
Clean,Clean_RGB,04054.png,0.580138,0.073482186,9,G,Stego,False
Clean,Clean_RGB,04055.png,0.1382175,0.030394563,9,B,Clean,True
Clean,Clean_RGB,04056.png,0.022034856,0.0076828077,9,R,Clean,True
Clean,Clean_RGB,04057.png,0.10309122,0.029530726,9,R,Clean,True
Clean,Clean_RGB,04058.png,0.0515997,0.015225004,9,R,Clean,True
Clean,Clean_RGB,04059.png,0.03266685,0.010307926,9,B,Clean,True
Clean,Clean_RGB,04060.png,0.031371962,0.008819194,9,G,Clean,True
Clean,Clean_RGB,04061.png,0.063014105,0.016377397,9,G,Clean,True
Clean,Clean_RGB,04062.png,0.044614542,0.019296966,9,R,Clean,True
Clean,Clean_RGB,04063.png,1.0,0.9028568,9,R,Stego,False
Clean,Clean_RGB,04064.png,0.989023,0.609609,9,G,Stego,False
Clean,Clean_RGB,04065.png,0.27795473,0.10373099,9,R,Clean,True
Clean,Clean_RGB,04066.png,0.02433718,0.008202248,9,R,Clean,True
Clean,Clean_RGB,04067.png,0.025503125,0.008107138,9,B,Clean,True
Clean,Clean_RGB,04068.png,0.04272654,0.013051303,9,R,Clean,True
Clean,Clean_RGB,04069.png,0.037085857,0.012235553,9,R,Clean,True
Clean,Clean_RGB,04070.png,0.04510359,0.012012963,9,B,Clean,True
Clean,Clean_RGB,04071.png,0.019377537,0.0044806204,9,R,Clean,True
Clean,Clean_RGB,04072.png,0.04679648,0.015762892,9,G,Clean,True
Clean,Clean_RGB,04073.png,0.0364698,0.013289311,9,B,Clean,True
Clean,Clean_RGB,04074.png,0.51757365,0.15903398,9,R,Stego,False
Clean,Clean_RGB,04075.png,0.47422796,0.076406,9,B,Clean,True
Clean,Clean_RGB,04076.png,0.043212358,0.011659233,9,G,Clean,True
Clean,Clean_RGB,04077.png,0.4400579,0.1148699,9,G,Clean,True
Clean,Clean_RGB,04078.png,0.03157007,0.009133888,9,B,Clean,True
Clean,Clean_RGB,04079.png,0.14036876,0.027739845,9,R,Clean,True
Clean,Clean_RGB,04080.png,0.07223339,0.01763575,9,G,Clean,True
Clean,Clean_RGB,04081.png,0.030091625,0.01989781,9,R,Clean,True
Clean,Clean_RGB,04082.png,0.041334063,0.013370963,9,R,Clean,True
Clean,Clean_RGB,04083.png,0.032776657,0.009822569,9,R,Clean,True
Clean,Clean_RGB,04084.png,0.28909993,0.06345626,9,R,Clean,True
Clean,Clean_RGB,04085.png,0.030131515,0.0101359235,9,R,Clean,True
Clean,Clean_RGB,04086.png,0.036472544,0.009152014,9,G,Clean,True
Clean,Clean_RGB,04087.png,0.03218148,0.00946919,9,R,Clean,True
Clean,Clean_RGB,04088.png,0.1450236,0.021163637,9,R,Clean,True
Clean,Clean_RGB,04089.png,0.040041696,0.010259462,9,B,Clean,True
Clean,Clean_RGB,04090.png,0.025334278,0.009334638,9,R,Clean,True
Clean,Clean_RGB,04091.png,0.040319584,0.012448851,9,R,Clean,True
Clean,Clean_RGB,04092.png,0.035370424,0.009407813,9,G,Clean,True
Clean,Clean_RGB,04093.png,0.060770564,0.016497612,9,R,Clean,True
Clean,Clean_RGB,04094.png,0.072219476,0.013825581,9,R,Clean,True
Clean,Clean_RGB,04095.png,0.9995203,0.4352624,9,G,Stego,False
Clean,Clean_RGB,04096.png,0.6840404,0.09524167,9,G,Stego,False
Clean,Clean_RGB,04097.png,0.054377023,0.014885758,9,G,Clean,True
Clean,Clean_RGB,04098.png,0.031666327,0.0060856165,9,G,Clean,True
Clean,Clean_RGB,04099.png,0.05833383,0.016432486,9,R,Clean,True
Clean,Clean_RGB,04100.png,0.08480455,0.018884424,9,B,Clean,True
Stego,Stego_Grayscale,0.png,1.0,0.9987629,24,L,Stego,True
Stego,Stego_Grayscale,1.png,1.0,0.99987036,14,L,Stego,True
Stego,Stego_Grayscale,10.png,1.0,0.912997,25,L,Stego,True
Stego,Stego_Grayscale,100.png,1.0,0.98662055,77,L,Stego,True
Stego,Stego_Grayscale,1000.png,0.9999728,0.8196151,35,L,Stego,True
Stego,Stego_Grayscale,1001.png,1.0,0.9969745,28,L,Stego,True
Stego,Stego_Grayscale,1002.png,1.0,0.99984384,66,L,Stego,True
Stego,Stego_Grayscale,1003.png,0.9999999,0.8446349,77,L,Stego,True
Stego,Stego_Grayscale,1004.png,0.9999974,0.79374856,77,L,Stego,True
Stego,Stego_Grayscale,1005.png,0.99969876,0.6780011,77,L,Stego,True
Stego,Stego_Grayscale,1006.png,0.99999857,0.88005227,66,L,Stego,True
Stego,Stego_Grayscale,1007.png,1.0,1.0,35,L,Stego,True
Stego,Stego_Grayscale,1008.png,1.0,0.92882925,77,L,Stego,True
Stego,Stego_Grayscale,1009.png,1.0,0.8042921,35,L,Stego,True
Stego,Stego_Grayscale,101.png,1.0,0.9804328,35,L,Stego,True
Stego,Stego_Grayscale,1010.png,1.0,0.9937087,28,L,Stego,True
Stego,Stego_Grayscale,1011.png,0.9999989,0.9891703,12,L,Stego,True
Stego,Stego_Grayscale,1012.png,0.9055654,0.3373419,77,L,Stego,True
Stego,Stego_Grayscale,1013.png,1.0,0.999925,28,L,Stego,True
Stego,Stego_Grayscale,1014.png,1.0,0.9948556,77,L,Stego,True
Stego,Stego_Grayscale,1015.png,0.9976229,0.8010916,77,L,Stego,True
Stego,Stego_Grayscale,1016.png,1.0,0.9402785,15,L,Stego,True
Stego,Stego_Grayscale,1017.png,1.0,0.9641786,77,L,Stego,True
Stego,Stego_Grayscale,1018.png,1.0,0.98844177,35,L,Stego,True
Stego,Stego_Grayscale,1019.png,1.0,0.9028045,16,L,Stego,True
Stego,Stego_Grayscale,102.png,1.0,0.85094404,21,L,Stego,True
Stego,Stego_Grayscale,1020.png,1.0,0.66395,15,L,Stego,True
Stego,Stego_Grayscale,1021.png,0.99999464,0.9292864,77,L,Stego,True
Stego,Stego_Grayscale,1022.png,1.0,0.9822095,28,L,Stego,True
Stego,Stego_Grayscale,1023.png,1.0,0.797823,35,L,Stego,True
Stego,Stego_Grayscale,1024.png,0.99741507,0.31717622,24,L,Stego,True
Stego,Stego_Grayscale,1025.png,1.0,0.9940487,28,L,Stego,True
Stego,Stego_Grayscale,1026.png,1.0,0.8883262,66,L,Stego,True
Stego,Stego_Grayscale,1027.png,1.0,0.9192205,15,L,Stego,True
Stego,Stego_Grayscale,1028.png,1.0,0.9833295,77,L,Stego,True
Stego,Stego_Grayscale,1029.png,1.0,0.951516,77,L,Stego,True
Stego,Stego_Grayscale,103.png,1.0,0.96005917,24,L,Stego,True
Stego,Stego_Grayscale,1030.png,0.9999963,0.39142957,77,L,Stego,True
Stego,Stego_Grayscale,1031.png,0.9999982,0.9643726,55,L,Stego,True
Stego,Stego_Grayscale,1032.png,1.0,0.99978226,25,L,Stego,True
Stego,Stego_Grayscale,1033.png,0.9999987,0.82108086,35,L,Stego,True
Stego,Stego_Grayscale,1034.png,1.0,0.94889766,15,L,Stego,True
Stego,Stego_Grayscale,1035.png,1.0,0.9999206,21,L,Stego,True
Stego,Stego_Grayscale,1036.png,1.0,0.9869588,24,L,Stego,True
Stego,Stego_Grayscale,1037.png,0.80842817,0.11367773,66,L,Stego,True
Stego,Stego_Grayscale,1038.png,1.0,0.97589755,77,L,Stego,True
Stego,Stego_Grayscale,1039.png,1.0,0.96800804,77,L,Stego,True
Stego,Stego_Grayscale,104.png,0.9999887,0.9134807,77,L,Stego,True
Stego,Stego_Grayscale,1040.png,1.0,0.85790765,28,L,Stego,True
Stego,Stego_Grayscale,1041.png,0.9999994,0.7738528,77,L,Stego,True
Stego,Stego_Grayscale,1042.png,0.99999964,0.88610256,77,L,Stego,True
Stego,Stego_Grayscale,1043.png,0.99999964,0.8928169,28,L,Stego,True
Stego,Stego_Grayscale,1044.png,0.999997,0.91752714,35,L,Stego,True
Stego,Stego_Grayscale,1045.png,1.0,0.8011708,35,L,Stego,True
Stego,Stego_Grayscale,1046.png,1.0,0.97393924,21,L,Stego,True
Stego,Stego_Grayscale,1047.png,1.0,0.99362713,66,L,Stego,True
Stego,Stego_Grayscale,1048.png,0.99999475,0.9456599,77,L,Stego,True
Stego,Stego_Grayscale,1049.png,0.99995303,0.60876983,15,L,Stego,True
Stego,Stego_Grayscale,105.png,0.9999944,0.98504543,35,L,Stego,True
Stego,Stego_Grayscale,1050.png,0.9968912,0.94865006,28,L,Stego,True
Stego,Stego_Grayscale,1051.png,0.99999833,0.66992676,21,L,Stego,True
Stego,Stego_Grayscale,1052.png,1.0,0.8220264,66,L,Stego,True
Stego,Stego_Grayscale,1053.png,0.99999344,0.92523795,77,L,Stego,True
Stego,Stego_Grayscale,1054.png,0.9999999,0.9805217,28,L,Stego,True
Stego,Stego_Grayscale,1055.png,0.99999666,0.9289003,77,L,Stego,True
Stego,Stego_Grayscale,1056.png,0.99991596,0.766129,20,L,Stego,True
Stego,Stego_Grayscale,1057.png,1.0,0.97160625,28,L,Stego,True
Stego,Stego_Grayscale,1058.png,1.0,0.9306413,77,L,Stego,True
Stego,Stego_Grayscale,1059.png,1.0,0.9236797,28,L,Stego,True
Stego,Stego_Grayscale,106.png,1.0,0.9263256,24,L,Stego,True
Stego,Stego_Grayscale,1060.png,0.99999297,0.94085324,28,L,Stego,True
Stego,Stego_Grayscale,1061.png,0.9991472,0.94048816,77,L,Stego,True
Stego,Stego_Grayscale,1062.png,1.0,0.998774,28,L,Stego,True
Stego,Stego_Grayscale,1063.png,1.0,0.75353044,77,L,Stego,True
Stego,Stego_Grayscale,1064.png,1.0,0.8624334,30,L,Stego,True
Stego,Stego_Grayscale,1065.png,0.99999976,0.99591464,24,L,Stego,True
Stego,Stego_Grayscale,1066.png,1.0,0.5326571,24,L,Stego,True
Stego,Stego_Grayscale,1067.png,1.0,0.928778,77,L,Stego,True
Stego,Stego_Grayscale,1068.png,1.0,0.99998057,21,L,Stego,True
Stego,Stego_Grayscale,1069.png,0.9999894,0.96771806,35,L,Stego,True
Stego,Stego_Grayscale,107.png,0.9643061,0.18898742,28,L,Stego,True
Stego,Stego_Grayscale,1070.png,0.99999595,0.8206336,77,L,Stego,True
Stego,Stego_Grayscale,1071.png,1.0,0.976784,25,L,Stego,True
Stego,Stego_Grayscale,1072.png,0.99998415,0.8266097,77,L,Stego,True
Stego,Stego_Grayscale,1073.png,1.0,0.9914178,35,L,Stego,True
Stego,Stego_Grayscale,1074.png,1.0,0.9996954,25,L,Stego,True
Stego,Stego_Grayscale,1075.png,1.0,0.9114355,35,L,Stego,True
Stego,Stego_Grayscale,1076.png,0.9999976,0.8439104,77,L,Stego,True
Stego,Stego_Grayscale,1077.png,1.0,0.8125573,35,L,Stego,True
Stego,Stego_Grayscale,1078.png,0.8923442,0.09666193,24,L,Stego,True
Stego,Stego_Grayscale,1079.png,0.9999714,0.78392917,35,L,Stego,True
Stego,Stego_Grayscale,108.png,1.0,0.91911614,25,L,Stego,True
Stego,Stego_Grayscale,1080.png,0.99998,0.7799207,15,L,Stego,True
Stego,Stego_Grayscale,1081.png,1.0,0.82445276,35,L,Stego,True
Stego,Stego_Grayscale,1082.png,1.0,0.99905455,15,L,Stego,True
Stego,Stego_Grayscale,1083.png,1.0,0.99718493,49,L,Stego,True
Stego,Stego_Grayscale,1084.png,1.0,0.67593527,18,L,Stego,True
Stego,Stego_Grayscale,1085.png,0.99909055,0.64492303,66,L,Stego,True
Stego,Stego_Grayscale,1086.png,0.009991218,0.0034919356,9,L,Clean,False
Stego,Stego_Grayscale,1087.png,0.99999905,0.89210606,35,L,Stego,True
Stego,Stego_RGB,0.png,1.0,0.9841439,24,R,Stego,True
Stego,Stego_RGB,1.png,0.99981576,0.9392913,14,R,Stego,True
Stego,Stego_RGB,10.png,1.0,0.9628008,25,R,Stego,True
Stego,Stego_RGB,100.png,1.0,0.97694004,35,R,Stego,True
Stego,Stego_RGB,1000.png,1.0,0.9540579,77,R,Stego,True
Stego,Stego_RGB,1001.png,1.0,0.90246546,66,R,Stego,True
Stego,Stego_RGB,1002.png,1.0,0.96635085,28,B,Stego,True
Stego,Stego_RGB,1003.png,0.99999976,0.99995595,10,G,Stego,True
Stego,Stego_RGB,1004.png,0.99992156,0.9437316,18,B,Stego,True
Stego,Stego_RGB,1005.png,0.15306868,0.04749213,18,B,Clean,False
Stego,Stego_RGB,1006.png,1.0,0.93009883,35,R,Stego,True
Stego,Stego_RGB,1007.png,0.99353045,0.8870731,77,G,Stego,True
Stego,Stego_RGB,1008.png,1.0,0.28591052,15,B,Stego,True
Stego,Stego_RGB,1009.png,0.999876,0.9681234,28,B,Stego,True
Stego,Stego_RGB,101.png,1.0,0.99999744,21,G,Stego,True
Stego,Stego_RGB,1010.png,1.0,0.99830806,49,R,Stego,True
Stego,Stego_RGB,1011.png,0.07663517,0.010091848,44,R,Clean,False
Stego,Stego_RGB,1012.png,1.0,0.9394335,77,R,Stego,True
Stego,Stego_RGB,1013.png,0.6844993,0.1247829,66,R,Stego,True
Stego,Stego_RGB,1014.png,1.0,0.98488873,28,R,Stego,True
Stego,Stego_RGB,1015.png,0.92119163,0.27466354,24,B,Stego,True
Stego,Stego_RGB,1016.png,0.670392,0.20693642,18,R,Stego,True
Stego,Stego_RGB,1017.png,1.0,1.0,28,R,Stego,True
Stego,Stego_RGB,1018.png,1.0,0.9906105,15,B,Stego,True
Stego,Stego_RGB,1019.png,0.5801784,0.15230533,66,B,Stego,True
Stego,Stego_RGB,102.png,1.0,0.9939043,77,R,Stego,True
Stego,Stego_RGB,1020.png,0.9994228,0.96403605,21,R,Stego,True
Stego,Stego_RGB,1021.png,0.9999999,0.9739721,35,R,Stego,True
Stego,Stego_RGB,1022.png,0.999995,0.8869834,77,B,Stego,True
Stego,Stego_RGB,1023.png,0.77319425,0.23645124,66,G,Stego,True
Stego,Stego_RGB,1024.png,0.9999908,0.9450975,77,B,Stego,True
Stego,Stego_RGB,1025.png,1.0,0.728019,8,R,Stego,True
Stego,Stego_RGB,1026.png,0.99999297,0.98611504,21,G,Stego,True
Stego,Stego_RGB,1027.png,1.0,0.8251474,35,R,Stego,True
Stego,Stego_RGB,1028.png,1.0,0.9836475,77,G,Stego,True
Stego,Stego_RGB,1029.png,0.3291937,0.078896545,24,B,Clean,False
Stego,Stego_RGB,103.png,1.0,0.9614802,77,R,Stego,True
Stego,Stego_RGB,1030.png,0.9999993,0.93571764,15,R,Stego,True
Stego,Stego_RGB,1031.png,1.0,0.9511888,77,B,Stego,True
Stego,Stego_RGB,1032.png,1.0,1.0,25,R,Stego,True
Stego,Stego_RGB,1033.png,1.0,0.99788076,28,R,Stego,True
Stego,Stego_RGB,1034.png,1.0,0.9928915,8,R,Stego,True
Stego,Stego_RGB,1035.png,0.9999976,0.97586155,35,G,Stego,True
Stego,Stego_RGB,1036.png,1.0,0.28299406,15,R,Stego,True
Stego,Stego_RGB,1037.png,0.9999832,0.9531629,8,G,Stego,True
Stego,Stego_RGB,1038.png,1.0,0.89716613,66,R,Stego,True
Stego,Stego_RGB,1039.png,1.0,0.9995689,55,R,Stego,True
Stego,Stego_RGB,104.png,0.9999987,0.6765582,6,R,Stego,True
Stego,Stego_RGB,1040.png,0.9999995,0.974551,66,B,Stego,True
Stego,Stego_RGB,1041.png,1.0,0.8557344,77,R,Stego,True
Stego,Stego_RGB,1042.png,1.0,0.9811871,77,R,Stego,True
Stego,Stego_RGB,1043.png,1.0,0.9638026,77,R,Stego,True
Stego,Stego_RGB,1044.png,0.9999212,0.9556998,28,R,Stego,True
Stego,Stego_RGB,1045.png,0.7080531,0.19821472,77,B,Stego,True
